City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,cambria,35.5641,-121.0808,21.39,61,99,1.34,US,1701122836
179,georgetown,5.4112,100.3354,26.12,89,20,2.57,MY,1701122551
180,kavaratti,10.5669,72.642,28.32,73,70,2.5,IN,1701122698
181,kouango,4.9934,19.9619,23.84,88,100,1.2,CF,1701122838
182,geraldton,-28.7667,114.6,21.23,56,100,4.12,AU,1701122838
183,seven pagodas,12.6264,80.1722,26.7,85,62,4.45,IN,1701122838
184,qaqortoq,60.7167,-46.0333,-13.62,73,4,4.13,GL,1701122690
185,zhuanghe,39.7008,122.9911,-4.51,43,10,2.46,CN,1701122839
186,grand rapids,42.9634,-85.6681,-2.27,77,100,5.14,US,1701122601
187,panama city beach,30.1766,-85.8055,15.01,57,0,4.63,US,1701122815
188,port alfred,-33.5906,26.891,17.32,97,1,0.39,ZA,1701122671
189,al jawf,29.5,38.75,13.45,55,45,4.41,SA,1701122840
190,south hedland,-20.4089,118.5983,23.96,78,0,5.66,AU,1701122840
191,durban,-29.8579,31.0292,23.06,91,91,1.18,ZA,1701122841
192,talnakh,69.4865,88.3972,-23.83,99,83,3.54,RU,1701122663
193,portland,45.5234,-122.6762,12.05,54,0,5.66,US,1701122841
194,kitgum,3.2783,32.8867,20.47,84,76,0.23,UG,1701122841
195,altai,46.3722,96.2583,-14.34,88,49,1.69,MN,1701122842
196,wailua homesteads,22.0669,-159.378,26.24,86,100,6.17,US,1701122842
197,nabire,-3.3667,135.4833,25.06,84,57,1.12,ID,1701122843
198,laminusa,5.5549,120.9136,28.01,74,75,1.93,PH,1701122843
199,west island,-12.1568,96.8225,24.99,83,40,3.6,CC,1701122691
200,mankoeng,-23.9,29.8167,15.76,57,0,1.73,ZA,1701122843
201,avarua,-21.2078,-159.775,26.03,69,75,8.75,CK,1701122844
202,asau,46.4333,26.4,-2.62,86,42,2.38,RO,1701122844
203,vorkuta,67.5,64.0,-22.11,98,13,2.35,RU,1701122844
